//简体繁体差异词语， 不要在第一行增加内容，留给注释用，3846行开始的是从另一个网站下载的，可能有点问题。
//内容格式为：简体+Tab+繁体
双页	兩頁
通用对话框	通用對話方塊
压缩型态的可程序文件	壓縮型態的可執行檔案
比较文件	比較檔案
比对符	比對子
比较运算符	比較運算子
兼容的 OLE 伺服程序	相容的 OLE 伺服程式
兼容的对象应用程序	相容的物件應用程式
兼容	相容
兼容的	相容的
编译资源文件	編譯資源檔案
终衍对象	終衍物件
复杂命令集计算机 (CISC)	複雜命令集電腦 (CISC)
复杂系结	複雜繫結
兼容	相容
组件展示廊	元件展示廊
组件负载平衡	元件負載平衡
组件名称	元件名稱
组件对象模型 (COM)	元件物件模型 (COM)
组件登录器	元件登錄器
组件服务总管	元件服務總管
组件匣	元件匣
组件向导	元件精靈
组件代码生成器	元件程式碼產生器
组件对象	元件物件
组件项目	元件專案
组件选定器	元件選取器
组件站点	元件站台
组件软件	元件軟體
组件	元件
复合控件	複合控制項
复合视频输入	複合視訊輸入
复合视频	複合視訊
复合文件文件	複合文件檔案
复合文件	複合檔案
复合设置运算符	複合設定運算子
计算机辅助翻译	電腦輔助翻譯
计算机名	電腦名稱
计算机	電腦
串连运算符	串連運算子
实在的	具象的
同时连接	同時連線
条件式编译的参量:	條件式編譯的引數:
条件断开点	條件中斷點
条件表达式	條件運算式
条件表达运算符	條件運算運算子
避孕套	保險套
配置完成	組態完成
配置数据	組態資料
配置数据库	組態資料庫
配置错误	組態錯誤
配置文件	組態檔案
配置信息	組態資訊
配置管理器	組態管理器
配置管理器	組態管理器
配置参数	組態參數
配置设置数值	組態設定值
配置向导	組態精靈
配置	組態
配置的	組態的
配置新设备	組態新裝置
确认文件夹替换	確認取代資料夾
连接字符串	連接字串
全部连接	全部連線
可连接对象	可連接物件
连接上	連線上
连接到	連線到
正在连接	正在連線
连接断开	連線切斷
使用中的连接	使用中的連線
链接可能被断开	連線已經中斷
连接导向	連線導向
连接点	連線點
连接共用	連線共用
连接字符串	連線字串
连接	連線
常量	常數
常量	常數
常量宣告	常數宣告
常量表达式	常數運算式
常量传用	常數傳用
常量	常數
构造函数	建構式
谘询	顧問
谘询公司	顧問公司
被收纳的控件	被收納的控制項
容器应用程序	容器應用程式
容器程序	容器程式
集装箱	貨櫃
内嵌无效的字符	內含無效的字元
内容标识码	內容識別碼
快捷菜单	快顯功能表
快显菜单	快顯功能表
内容运算符	內容運算子
内容字符串	內容字串
对比度	對比
控件库	控制項程式庫
控件向导	控制項精靈
控件类	控制項類別
控件容器	控制項容器
控制设备	控制裝置
控制标识码	控制識別碼
控制面板	控制台
控件项目	控制項專案
控件特性	控制項特性
控件模板	控制項模板
控件变量	控制項變數
控件视觉外观	控制項視覺外觀
控件	控制項
控件工具栏	控制項工具列
控件	控制項
常规内存	傳統記憶體
转换宏	轉換巨集
转换对象	轉換物件
复制建构函式	複製建構函式
复制磁盘	複製磁碟
复制传用	複製傳用
死机	當機
创建新文档	建立新的文件
开辟存储区	建立儲存體
创建字幕	建立字幕
创建时间	建立日期
十字光标	十字型游標
交叉数据表查询	交叉資料表查詢
当前的路径	目前的路徑
当前的设置数值	目前的設定值
当前文档	目前文件
当前图标	目前圖示
当前位置	目前位置
当前	目前
光标	游標
自定义控件	自訂控制項
自定义介面	自訂介面
自定义放大	自訂放大
自定义资源模板	自訂資源模板
自定义资源	自訂資源
自定义	自訂
自定义工具箱	自訂工具箱
自定义	自訂
自定义类	自訂類別
自定义文件	自訂文件
循环冗余核对 (CRC)	循環冗餘核對 (CRC)
数据访问对象 (DAO)	資料存取物件 (DAO)
数据访问对象 (DAO)	資料存取物件 (DAO)
数据类	資料類別
数据控件	資料控制項
数据成员	資料成員
数据对象向导	資料物件精靈
数据报表设计工具	資料報表設計工具
数据源定位器	資料來源定位器
数据源	資料來源
数据类型	資料類型
数据查看	資料檢視
数据配接器	資料配接器
数据绑定代理程序	資料繫結代理程式
数据绑定	資料繫結
数据断开点	資料中斷點
数据命令	資料命令
数据连接	資料連接
数据声明	資料宣告
数据键入页	資料輸入頁
数据区域	資料欄位
数据文件	資料檔案
数据格	資料格
数据句柄	資料句柄
数据链接	資料連結
数据成员字符串	資料成員字串
数据点	資料點
数据供应商	資料提供者
数据传输速度	資料速率
数据传输率	資料傳輸率
数据区段	資料區段
数据源名称	資料來源名稱
数据源层	資料來源層
数据存放区	資料存放區
数据流	資料串流
数据结构	資料結構
数据符号	資料符號
数据数据表	資料資料表
数据传输对象	資料傳輸物件
数据	資料
数据系结	資料繫結
数据定义查询	資料定義查詢
数据库图表	資料庫圖表
数据库注册向导	資料庫註冊精靈
数据库拆分向导	資料庫分割精靈
数据库类	資料庫等級
数据库表单	資料庫表單
数据库管理系统	資料庫管理系統
数据库对象	資料庫物件
数据库项目	資料庫專案
数据库角色	資料庫角色
数据库结构描述	資料庫結構描述
数据库模板	資料庫模板
数据库用户	資料庫使用者
数据库	資料庫
数据包套接字	資料包通訊端
数据包	資料包
数据集	資料集
数据工作表	資料工作表
日期数据类型	日期資料類型
数据库项目	資料庫專案
DDE 对谈信息	DDE 對談資訊
DDE 链接	DDE 連結
DDE 消息	DDE 訊息
DDE 响应	DDE 回應
数据定义语言	資料定義語言
无作用程序代码	無作用程式碼
无作用保存体	無作用儲存體
调试堆积	偵錯堆積
调试内存分派器	偵錯記憶體分派器
调试监视器	偵錯監視器
Debug 对象	Debug 物件
调试暂存器	偵錯暫存器
调试终端	偵錯終端機
调试版本	偵錯版本
调试工具	偵錯工具
调试集成	偵錯整合
调试事件	偵錯事件
调试信息	偵錯資訊
10 进制	10 進位
声明陈述式	宣告陳述式
声明类型	宣告類型
声明	宣告
声明符	宣告子
降序	遞減
深层复制配置	深層複製組態
深层复制	深層複製
默认访问权限	預設存取權限
默认参量	預設引數
默认建构函式 	預設建構函式
默认杂凑代码供应商	預設雜湊程式碼提供者
默认消息处理	預設訊息處理
默认对象处理常式	預設物件處理常式
默认安全性	預設安全性
默认值	預設值
默认窗口程序 	預設視窗程序
默认	預設
双击的默认	連按兩下滑鼠的預設
变形项 	變形項
碎片整理状态	重組狀態
磁盘清理程序	清理磁碟
开始整理	立即重組
延迟载入 	延遲載入
延迟渲染	延遲演算上色
发送延迟	傳送延後
委派类型 	委派類型
删除查询 	刪除查詢
分隔符号 	分隔符號
相依文件 	相依檔案
相依文件	相依檔案
相依对象 	相依物件
相关项目 	相關專案
部署子向导	部署子精靈
部署向导	部署精靈
解参考算符	解參考運算子
取值运算符	取值運算子
取值 	取值
子类	子類別
派生类	衍生類別
衍生类 	衍生類別
衍生类型 	衍生類型
子代窗口	子代視窗
降序	遞減
描述列块	描述區塊
	契約式設計
设计模式	設計樣式
设计时期控件 (DTC)	設計時期控制項 (DTC)
设计时期对象	設計時期物件
设计工具主应用程序	設計工具主應用程式
台式计算机	桌上型電腦
桌面窗口	桌面視窗
台式机	桌上型
目标语系	目的語系
接收端应用程序	接收端應用程式
目标盘已满	目的地磁碟機已滿
目标端标签	目的端標籤
目标矩形	目的矩形
目标	目的
目标端	目的端
析构	解構
析构器	解構式
详细信息	詳細資訊
详细数据表	詳細資料表
明细查看	細節檢視
检测到	偵測到
程序开发服务器	程式開發伺服器
控制列块数据 (DCB)	控制區塊資料 (DCB)
设备内容	裝置內容
设备驱动程序	裝置驅動程式
设备管理程序	裝置管理器
设备名	裝置名稱
设备离线	裝置離線
设备就绪	裝置就緒
设备	裝置
与设备相关位图	與裝置相關點陣圖
与设备无关位图文件	與裝置無關點陣圖檔案
与设备无关位图	與裝置無關點陣圖
与设备无关	與裝置無關
设备模式设置	裝置模式設定
区号规则	撥號規則
对话框列	對話方塊列
对话数据交换 (DDX)	對話資料交換 (DDX)
对话数据验证 (DDV)	對話資料驗證 (DDV)
对话框	對話方塊
对话框容器	對話方塊容器
对话框编辑器	對話方塊編輯器
对话框原始文件	對話方塊原始檔案
对话框模板	對話方塊模板
对话框单位 (DLU)	對話方塊單位 (DLU)
对话框架构应用程序	對話方塊架構應用程式
对话框程序架构	對話方塊程式架構
对话框架构	對話方塊架構
拨号网络适配器	撥號網路配接卡
拨接网路连接	撥號網路連線
拨号服务器	撥號伺服器
与设备无关的位图 (DIB)	與裝置無關的點陣圖 (DIB)
差异合并自定义标志服务	差異合併自訂標記服務
差异合并编辑器	差異合併編輯器
差异合并 UI 仲介服务	差異合併 UI 仲介服務
差异/合并撤销单位	差異/合併復原單位
差异/合并	差異/合併
差异查看器	差異檢視器
不同的项目	不同的專案
点限定表达式	點限定運算式
数字相机	數位相機
数字时钟	數位時鐘
数字	數位
双并词	雙併詞
维度 	維度
无效文本	無效文字
二极管	二極體
直接电缆连接	直接電纜線連線
直接访问模式	直接存取模式
指示符	命令
目录列表方块	目錄清單方塊
禁用的文本	停用的文字
反组译码窗口	反組譯碼視窗
全部断开连接	全部中斷連接
断开	中斷
探索 	探索
讨论服务器	討論伺服器
断续图形 	斷續圖形
驱动器	磁碟機
磁盘卷标	磁碟標籤
磁盘	磁碟
分派标识符	分派識別碼
分派介面 	分派介面
分派映射	分派對映
分布式	分散式
显示适配器	顯示介面卡
显卡	顯示卡
显示设备内容	顯示裝置內容
显示文件	顯示檔案
显示设置数值	顯示器設定值
分布式组件对象模型 (DCOM)	分散式元件物件模型 (DCOM)
分布式生成环境 (DCE)	分散式運算環境 (DCE)
分布式管理环境	分散式管理環境
分布式交易协调器 (DTC)	分散式交易協調器 (DTC)
分布式应用程序	分散式應用程式
拆分线样式	分割線樣式
内文列块	內文區塊
动态链接库 	動態連結程式庫
可停驻工具栏	可停駐工具列
停驻窗口	停駐視窗
停驻工具栏	停駐工具列
文档传阅向导	文件傳閱精靈
文档模板字符串	文件模板字串
文档项目	文件項目
文档长度	文件長度
文档菜单	文件功能表
文档名	文件名稱
文档对象	文件物件
文档模板	文件模板
文档窗口	文件視窗
文档	文件
文档集合	文件集合
文档特性	文件特性
域管理	網域管理
域名称	網域名稱
域后缀	網域字尾
域	網域
主控件	主控制項
不删除	不要刪除
不要再显示此对话框	不要再顯示此對話方塊
点运算符	句點運算子
双字节字符集 (DBCS)	雙位元組字元集 (DBCS)
双面水平打印	雙面水平列印
双面垂直打印	雙面垂直列印
草稿般的打印质量	草稿列印品質
拖放	拖曳
拖放模式	拖曳模式
绘制对象	繪製物件
磁盘栏	磁碟列
驱动器配置	磁碟組態
磁盘	磁碟
磁盘列表方块	磁碟清單方塊
驱动程序开发套件 (DDK)	驅動程式開發套件 (DDK)
驱动盘	驅動程式磁片
驱动器号	磁碟機代號
车照	駕駛執照
驱动程序	驅動程式
置放源	置放來源
下拉式列表	下拉式清單
下拉式菜单	下拉式功能表
数据源名称 (DSN)	資料來源名稱 (DSN)
倾印设备	傾印裝置
重复文件	重複檔案
动态数据交换 (DDE)	動態資料交換 (DDE)
动态超文本标志语言 	動態超文字標記語言
动态绑定	動態繫結
动态创建	動態建立
动态数据指标	動態資料指標
动态链接	動態連結
动态链接库	動態連結程式庫
动态分隔窗口	動態分隔視窗
动态类型信息	動態類型資訊
动态链接库文件	動態連結程式庫檔案
动态链接库	動態連結程式庫
动态集类型的数据录集	動態集類型的資料錄集
动态集类型的数据录集	動態集類型的資料錄集
早期绑定	早期繫結
编辑项目配置	編輯專案組態
编辑控件	編輯控制項
编辑文件	編輯檔案
编辑链接	編輯連結
特技	特效
有效地址	有效位址
信件程序	信件軟體
内嵌对象	內嵌物件
清空回收站	清空資源回收筒
启用单击方式的 URL 巡览	啟用按一下方式的 URL 巡覽
启用状态	啟用狀態
被封入类	被封入類別
	外圍類別
封入类	封入類別
封入标志	封入標記
被包括类型	被內含類型
包括类型	內含類型
用户授权合约 (EULA)	使用者授權合約 (EULA)
文件结尾	檔案結尾
用户	使用者
加强型图元文件	加強型中繼檔案
整个项目	整個專案
枚举类型	列舉類型
枚举特性	列舉特性
枚举值	列舉值
环境变量	環境變數
终解程序代码	終解程式碼
等号运算符	等號運算子
均衡器	等化器
抹除软盘	抹除磁片
抹除磁盘	抹除磁碟
清除所选内容	清除所選的範圍
Err 对象	Err 物件
错误性运行	錯誤性執行
查错	錯誤檢查
错误消息	錯誤訊息
错误号	錯誤代號
Error 对象	Error 物件
逸出字符	逸出字元
事件反升	事件反昇
事件日志文件	事件日誌檔案
事件映射	事件對映
事件掩码	事件遮罩
事件对象	事件物件
事件注册项	事件註冊項
事件响应对象	事件回應物件
事件接收映射	事件接收對映
事件源	事件來源
事件就绪对象	事件就緒物件
示例页	範例頁
示例	範例
异常声明	異常宣告
运行栏	執行列
可程序文件项目	可執行檔案專案
可运行字节	可執行位元組
可程序文件	可執行檔案
可运行的	可執行的
可程序文件	可執行檔案
运行延迟	執行延遲
运行字符集	執行字元集
运行	執行
程序文件	執行檔案
退出并返回	離開後回到
退出代码结束代码	離開代碼
退出帮助	離開幫助
展开文件夹	展開資料夾
扩展内存	擴充記憶體
外显初始设置式	外顯初始設定式
外显链接 	外顯連結
资源管理器	檔案總管
导出数据库模板	匯出資料庫模板
导出作业	匯出作業
导出文件	匯出檔案
导出函式	匯出函式
公开介面 	公開介面
表达式评估	運算式評估
表达式评估工具	運算式評估工具
生成陈述式 	運算陳述式
表达式	運算式
扩展巴克斯格式 	延伸巴克斯格式
扩展预存程序	延伸預存程序
扩充对象 	擴充物件
扩展样式	延伸樣式
扩充性供应商 	擴充性提供者
扩充项 	擴充項
可扩展标志语言 (XML)	可延伸標記語言 (XML)
可扩展样式表语言转换 (XSLT)	可延伸樣式表語言轉換 (XSLT)
可扩展样式表语言 (XSL)	可延伸樣式表語言 (XSL)
扩充内存	延伸記憶體
扩展	延伸
外部标识符	外部識別碼
外部链接	外部連結
引出操作符 (>>)	引出運算子 (>>)
激活帮助失败	無法活化幫助
未能配置	無法組態
不能打开文档	無法開啟文件
快速扫描	快速掃瞄
FAT 文件分派表	FAT 檔案分派表
首选快程序代码优化 	偏好快程式碼最佳化
首选小程序代码优化 	偏好小程式碼最佳化
收藏夹	我的最愛
收藏的	最愛的
区域数据成员	欄位資料成員
区域分隔符	欄位分隔符號
区域类型	欄位類型
区域	欄位
文件型 DSN 	檔案型 DSN
文件传输协议 	檔案傳輸通訊協定
FAT 文件分派表	FAT 檔案分派表
文件关联管理	檔案關聯管理
文件缓冲区	檔案緩衝區
文件捕捉	檔案擷取
文件数目	檔案個數
文件例外状况 	檔案例外狀況
扩展名	副檔名
文件句柄	檔案句柄
文件输出入 (I/O)	檔案輸出入 (I/O)
文件长度	檔案長度
文件列表	檔案清單
文件锁定	檔案鎖定
文件 Moniker	檔案 Moniker
文件指标	檔案指標
文件特性	檔案特性
文件范围 	檔案範圍
文件状态 	檔案狀態
文件时间	檔案時間
文件跟踪器	檔案追蹤器
文件树	檔案樹
文件类型	檔案類型
文件	檔案
文件服务器应用程序	檔案伺服器應用程式
扩展名	副檔名
文件名	檔案名稱
两端对齐	填滿段落
填满因数 	填滿因數
胶卷	軟片
限制复制列	限制複製列
文件中查找	檔案中尋找
批量文件查找	多重檔案尋找
项目中查找	專案中尋找
查找符号	尋找符號
查找文字	尋找文字
查找目标	尋找目標
查找	尋找
细致	細緻
固件	韌體
第一条	第一筆
固定工具窗口	固定工具視窗
固定的对话框	固定的對話方塊
双线的固定对话框	雙線的固定對話方塊
固定长度字符串	固定長度字串
固定字幅 	固定字幅
避免重绘闪动 	避免重繪閃動
浮点数 	浮點數
浮动工具栏 	浮動工具列
浮点数据类型 	浮點資料類型
浮点函式 	浮點函式
浮点数值 	浮點數值
软盘	軟式磁碟機
软盘	軟碟
软盘	磁碟片
流量控制 	流量控制
刷新	清理
焦点矩形 	焦點矩形
焦点 	焦點
文件夹跟踪器	資料夾追蹤器
文件夹	資料夾
字体文件	字型檔案
字体对应器 	字型對應器
字体资源	字型資源
字体方案	字型方案
字体查看	字型檢視
字体	字型
页尾 	頁尾
前景窗口	前景視窗
外部应用程序	外部應用程式
外部索引键数据表	外部索引鍵資料表
表单类	表單類別
表单格线设置数值	表單格線設定值
